scenario,base,type,propensityModelMisspecified,riskModelMisspecified,sampleSize,harm,riskModel,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,g0,g1,g2,c,averageTrueBenefit,averageBenefit
299,risk,constant,unobserved,unobserved,2125,negative,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.5108256237659907,1,0,0,0.04,0.05
300,risk,constant,unobserved,unobserved,2125,negative,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.5108256237659907,1,0,0,0.04,0.05
301,risk,constant,unobserved,unobserved,17000,absent,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.5108256237659907,1,0,0,0.04,0.04
302,risk,constant,unobserved,unobserved,17000,absent,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.5108256237659907,1,0,0,0.04,0.04
303,risk,constant,unobserved,unobserved,17000,strong-positive,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.5108256237659907,1,0,0,0.04,0.03
304,risk,constant,unobserved,unobserved,17000,strong-positive,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.5108256237659907,1,0,0,0.04,0.03
305,risk,constant,unobserved,unobserved,17000,negative,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.5108256237659907,1,0,0,0.04,0.05
306,risk,constant,unobserved,unobserved,17000,negative,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.5108256237659907,1,0,0,0.04,0.05
307,risk,linear-high,unobserved,unobserved,4250,absent,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.85,0.7956044,0,0,0.04,0.04
308,risk,linear-high,unobserved,unobserved,4250,absent,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.85,0.7956044,0,0,0.04,0.04
309,risk,linear-high,unobserved,unobserved,4250,strong-positive,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.85,0.7956044,0,0,0.04,0.03
310,risk,linear-high,unobserved,unobserved,4250,strong-positive,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.85,0.7956044,0,0,0.04,0.03
311,risk,linear-high,unobserved,unobserved,4250,negative,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.85,0.7956044,0,0,0.04,0.05
312,risk,linear-high,unobserved,unobserved,4250,negative,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.85,0.7956044,0,0,0.04,0.05
313,risk,linear-high,unobserved,unobserved,2125,absent,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.85,0.7956044,0,0,0.04,0.04
314,risk,linear-high,unobserved,unobserved,2125,absent,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.85,0.7956044,0,0,0.04,0.04
315,risk,linear-high,unobserved,unobserved,2125,strong-positive,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.85,0.7956044,0,0,0.04,0.03
316,risk,linear-high,unobserved,unobserved,2125,strong-positive,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.85,0.7956044,0,0,0.04,0.03
317,risk,linear-high,unobserved,unobserved,2125,negative,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.85,0.7956044,0,0,0.04,0.05
318,risk,linear-high,unobserved,unobserved,2125,negative,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.85,0.7956044,0,0,0.04,0.05
319,risk,linear-high,unobserved,unobserved,17000,absent,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.85,0.7956044,0,0,0.04,0.04
320,risk,linear-high,unobserved,unobserved,17000,absent,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.85,0.7956044,0,0,0.04,0.04
321,risk,linear-high,unobserved,unobserved,17000,strong-positive,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.85,0.7956044,0,0,0.04,0.03
322,risk,linear-high,unobserved,unobserved,17000,strong-positive,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.85,0.7956044,0,0,0.04,0.03
323,risk,linear-high,unobserved,unobserved,17000,negative,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.85,0.7956044,0,0,0.04,0.05
324,risk,linear-high,unobserved,unobserved,17000,negative,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.85,0.7956044,0,0,0.04,0.05
325,risk,quadratic-high,unobserved,unobserved,4250,absent,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.18,1.5604,-0.07142857,0,0.04,0.04
326,risk,quadratic-high,unobserved,unobserved,4250,absent,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.18,1.5604,-0.07142857,0,0.04,0.04
327,risk,quadratic-high,unobserved,unobserved,4250,strong-positive,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.18,1.5604,-0.07142857,0,0.04,0.03
328,risk,quadratic-high,unobserved,unobserved,4250,strong-positive,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.18,1.5604,-0.07142857,0,0.04,0.03
329,risk,quadratic-high,unobserved,unobserved,4250,negative,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.18,1.5604,-0.07142857,0,0.04,0.05
330,risk,quadratic-high,unobserved,unobserved,4250,negative,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.18,1.5604,-0.07142857,0,0.04,0.05
331,risk,quadratic-high,unobserved,unobserved,2125,absent,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.18,1.5604,-0.07142857,0,0.04,0.04
332,risk,quadratic-high,unobserved,unobserved,2125,absent,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.18,1.5604,-0.07142857,0,0.04,0.04
333,risk,quadratic-high,unobserved,unobserved,2125,strong-positive,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.18,1.5604,-0.07142857,0,0.04,0.03
334,risk,quadratic-high,unobserved,unobserved,2125,strong-positive,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.18,1.5604,-0.07142857,0,0.04,0.03
335,risk,quadratic-high,unobserved,unobserved,2125,negative,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.18,1.5604,-0.07142857,0,0.04,0.05
336,risk,quadratic-high,unobserved,unobserved,2125,negative,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.18,1.5604,-0.07142857,0,0.04,0.05
337,risk,quadratic-high,unobserved,unobserved,17000,absent,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.18,1.5604,-0.07142857,0,0.04,0.04
338,risk,quadratic-high,unobserved,unobserved,17000,absent,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.18,1.5604,-0.07142857,0,0.04,0.04
339,risk,quadratic-high,unobserved,unobserved,17000,strong-positive,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.18,1.5604,-0.07142857,0,0.04,0.03
340,risk,quadratic-high,unobserved,unobserved,17000,strong-positive,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.18,1.5604,-0.07142857,0,0.04,0.03
341,risk,quadratic-high,unobserved,unobserved,17000,negative,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.18,1.5604,-0.07142857,0,0.04,0.05
342,risk,quadratic-high,unobserved,unobserved,17000,negative,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.18,1.5604,-0.07142857,0,0.04,0.05
343,risk,non-monotonic,unobserved,unobserved,4250,absent,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.46,2.1,0.1,0,0.04,0.04
344,risk,non-monotonic,unobserved,unobserved,4250,absent,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.46,2.1,0.1,0,0.04,0.04
345,risk,non-monotonic,unobserved,unobserved,4250,strong-positive,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.46,2.1,0.1,0,0.04,0.03
346,risk,non-monotonic,unobserved,unobserved,4250,strong-positive,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.46,2.1,0.1,0,0.04,0.03
347,risk,non-monotonic,unobserved,unobserved,4250,negative,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.46,2.1,0.1,0,0.04,0.05
348,risk,non-monotonic,unobserved,unobserved,4250,negative,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.46,2.1,0.1,0,0.04,0.05
349,risk,non-monotonic,unobserved,unobserved,2125,absent,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.46,2.1,0.1,0,0.04,0.04
350,risk,non-monotonic,unobserved,unobserved,2125,absent,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.46,2.1,0.1,0,0.04,0.04
351,risk,non-monotonic,unobserved,unobserved,2125,strong-positive,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.46,2.1,0.1,0,0.04,0.03
352,risk,non-monotonic,unobserved,unobserved,2125,strong-positive,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.46,2.1,0.1,0,0.04,0.03
353,risk,non-monotonic,unobserved,unobserved,2125,negative,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.46,2.1,0.1,0,0.04,0.05
354,risk,non-monotonic,unobserved,unobserved,2125,negative,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.46,2.1,0.1,0,0.04,0.05
355,risk,non-monotonic,unobserved,unobserved,17000,absent,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.46,2.1,0.1,0,0.04,0.04
356,risk,non-monotonic,unobserved,unobserved,17000,absent,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.46,2.1,0.1,0,0.04,0.04
357,risk,non-monotonic,unobserved,unobserved,17000,strong-positive,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.46,2.1,0.1,0,0.04,0.03
358,risk,non-monotonic,unobserved,unobserved,17000,strong-positive,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.46,2.1,0.1,0,0.04,0.03
359,risk,non-monotonic,unobserved,unobserved,17000,negative,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.46,2.1,0.1,0,0.04,0.05
360,risk,non-monotonic,unobserved,unobserved,17000,negative,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.46,2.1,0.1,0,0.04,0.05
