scenario,base,type,propensityModelMisspecified,riskModelMisspecified,sampleSize,harm,riskModel,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,g0,g1,g2,c,averageTrueBenefit,averageBenefit
44,risk,constant,misspecified,true,2125,absent,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.5108256237659907,1,0,0,0.04,0.04
45,risk,constant,misspecified,true,2125,strong-positive,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.5108256237659907,1,0,0,0.04,0.03
46,risk,constant,misspecified,true,2125,strong-positive,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.5108256237659907,1,0,0,0.04,0.03
47,risk,constant,misspecified,true,2125,negative,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.5108256237659907,1,0,0,0.04,0.05
48,risk,constant,misspecified,true,2125,negative,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.5108256237659907,1,0,0,0.04,0.05
49,risk,constant,misspecified,true,17000,absent,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.5108256237659907,1,0,0,0.04,0.04
50,risk,constant,misspecified,true,17000,absent,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.5108256237659907,1,0,0,0.04,0.04
51,risk,constant,misspecified,true,17000,strong-positive,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.5108256237659907,1,0,0,0.04,0.03
52,risk,constant,misspecified,true,17000,strong-positive,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.5108256237659907,1,0,0,0.04,0.03
53,risk,constant,misspecified,true,17000,negative,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.5108256237659907,1,0,0,0.04,0.05
54,risk,constant,misspecified,true,17000,negative,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.5108256237659907,1,0,0,0.04,0.05
55,risk,constant,misspecified,misspecified,4250,absent,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.5108256237659907,1,0,0,0.04,0.04
56,risk,constant,misspecified,misspecified,4250,absent,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.5108256237659907,1,0,0,0.04,0.04
57,risk,constant,misspecified,misspecified,4250,strong-positive,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.5108256237659907,1,0,0,0.04,0.03
58,risk,constant,misspecified,misspecified,4250,strong-positive,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.5108256237659907,1,0,0,0.04,0.03
59,risk,constant,misspecified,misspecified,4250,negative,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.5108256237659907,1,0,0,0.04,0.05
60,risk,constant,misspecified,misspecified,4250,negative,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.5108256237659907,1,0,0,0.04,0.05
61,risk,constant,misspecified,misspecified,2125,absent,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.5108256237659907,1,0,0,0.04,0.04
62,risk,constant,misspecified,misspecified,2125,absent,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.5108256237659907,1,0,0,0.04,0.04
63,risk,constant,misspecified,misspecified,2125,strong-positive,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.5108256237659907,1,0,0,0.04,0.03
64,risk,constant,misspecified,misspecified,2125,strong-positive,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.5108256237659907,1,0,0,0.04,0.03
65,risk,constant,misspecified,misspecified,2125,negative,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.5108256237659907,1,0,0,0.04,0.05
66,risk,constant,misspecified,misspecified,2125,negative,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.5108256237659907,1,0,0,0.04,0.05
67,risk,constant,misspecified,misspecified,17000,absent,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.5108256237659907,1,0,0,0.04,0.04
68,risk,constant,misspecified,misspecified,17000,absent,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.5108256237659907,1,0,0,0.04,0.04
69,risk,constant,misspecified,misspecified,17000,strong-positive,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.5108256237659907,1,0,0,0.04,0.03
70,risk,constant,misspecified,misspecified,17000,strong-positive,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.5108256237659907,1,0,0,0.04,0.03
71,risk,constant,misspecified,misspecified,17000,negative,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.5108256237659907,1,0,0,0.04,0.05
72,risk,constant,misspecified,misspecified,17000,negative,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.5108256237659907,1,0,0,0.04,0.05
